,X_1,X_2,X_3,X_4,X_5,alpha
time 1363,-0.89,-0.75,-0.18,0.31,0.27,0.67
time 1364,0.4,0.35,-0.87,-0.48,-0.64,1.0
time 1365,0.12,0.19,-0.84,0.72,-0.88,0.33
time 1366,-0.97,-0.69,-0.36,-0.36,0.72,1.0
time 1367,0.25,-0.38,-0.61,-0.86,-0.83,0.67
time 1368,0.68,0.28,0.59,0.75,-0.91,0.67
time 1369,0.48,-0.22,0.19,0.73,-0.44,0.33
time 1370,0.2,0.98,0.94,-0.72,0.95,0.67
time 1371,0.66,-0.58,-0.1,0.65,-0.52,0.33
time 1372,0.58,-0.08,-0.98,-0.33,0.59,0.33
time 1373,1.0,0.99,0.27,-0.99,-0.6,0.33
time 1374,0.76,-0.72,0.67,-0.33,-0.92,0.33
time 1375,0.25,-0.26,-0.43,-0.66,-0.5,0.33
time 1376,-0.56,-0.41,-0.91,0.85,0.75,0.67
time 1377,-0.63,0.22,0.24,-0.45,-0.48,0.33
time 1378,0.59,0.23,-0.94,-0.85,0.93,1.0
time 1379,-0.58,-0.43,-0.71,-0.53,0.61,0.67
time 1380,0.14,0.72,0.31,-0.65,-0.36,0.33
time 1381,0.53,-0.27,0.84,0.95,-0.97,0.33
time 1382,-0.67,0.01,-0.49,0.8,-0.45,0.33
time 1383,0.81,0.96,0.34,-0.3,0.28,1.0
time 1384,-0.77,-0.08,-0.67,0.94,-0.99,0.33
time 1385,0.81,0.86,0.94,-0.16,-0.34,1.0
time 1386,-0.24,0.56,-0.38,0.47,-0.99,1.0
time 1387,-0.72,-0.14,0.21,-0.95,-0.2,0.33
time 1388,-0.61,0.65,0.61,0.41,0.33,1.0
time 1389,-0.12,0.4,0.11,-0.98,-0.15,0.33
time 1390,-0.23,0.9,0.91,0.98,0.61,0.67
time 1391,0.44,0.75,0.63,-0.88,0.49,0.67
time 1392,0.15,-0.23,0.46,0.51,-1.0,0.67
time 1393,-0.51,-0.32,0.03,0.02,0.66,0.67
time 1394,-0.73,0.92,-0.65,-0.9,-0.28,0.67
time 1395,-0.4,-0.01,0.4,0.2,-0.29,0.33
time 1396,-0.57,0.44,-0.68,0.48,0.88,0.67
time 1397,-0.66,0.55,-0.63,0.59,0.02,0.33
time 1398,0.36,0.66,-0.85,-0.43,0.51,0.33
time 1399,0.54,-0.16,0.88,-0.15,0.58,0.33
time 1400,0.19,0.26,0.29,-0.79,0.56,0.67
time 1401,0.73,0.93,-0.64,0.29,-0.57,0.33
time 1402,-0.73,0.13,0.68,-0.63,-0.25,0.67
time 1403,-0.07,0.94,0.87,0.04,0.42,0.67
time 1404,-0.99,0.38,-0.33,-0.91,-0.58,0.67
time 1405,0.84,0.69,-0.56,-0.78,-0.42,0.67
time 1406,0.57,-0.93,-0.22,-0.59,0.33,0.67
time 1407,0.03,-0.9,0.82,-0.26,0.4,1.0
time 1408,0.62,-0.21,0.84,-0.1,-0.69,0.33
time 1409,-0.5,-0.47,-0.36,-0.2,0.34,1.0
time 1410,0.11,-0.76,0.38,-0.74,-0.34,1.0
time 1411,0.82,0.11,0.86,0.65,0.89,0.67
time 1412,-0.39,-0.69,-0.15,0.89,0.5,1.0
time 1413,0.02,0.09,-0.22,-0.53,0.25,0.67
time 1414,-0.67,0.13,0.96,-0.1,0.12,0.67
time 1415,0.0,0.66,-0.78,-0.36,0.12,0.33
time 1416,-0.28,-0.94,0.35,-0.65,0.56,0.67
time 1417,-0.21,-0.5,-0.2,0.38,0.81,0.67
time 1418,-0.08,-0.99,-0.5,0.46,-0.02,0.67
time 1419,0.91,0.67,-1.0,-0.06,-0.02,0.33
time 1420,-0.03,-0.13,0.44,0.03,0.32,0.33
time 1421,-0.7,0.2,-0.01,0.6,0.93,0.67
time 1422,-0.41,0.99,0.53,-0.17,0.95,0.33
time 1423,0.8,-0.61,0.33,-0.57,0.76,0.67
time 1424,-0.9,-0.57,0.19,-0.77,0.63,0.67
time 1425,-0.08,-0.84,-0.9,-0.79,0.73,0.67
time 1426,-0.99,-0.84,-0.51,0.81,-0.21,0.67
time 1427,-0.18,-0.05,0.71,0.83,0.04,0.67
time 1428,-0.58,0.69,0.23,0.74,-0.51,0.67
time 1429,0.75,-0.4,-0.64,-0.66,0.83,1.0
time 1430,-0.85,-0.47,0.26,0.33,-0.27,1.0
time 1431,0.78,0.9,-0.98,-0.11,-0.53,1.0
time 1432,0.39,-0.04,-0.15,0.85,0.94,1.0
time 1433,-0.88,0.1,0.54,0.77,0.64,0.67
time 1434,0.63,0.99,-0.21,0.45,-0.42,0.33
time 1435,-0.93,-0.37,0.69,-0.7,-0.76,1.0
time 1436,-0.66,0.2,-0.1,-0.36,-0.62,1.0
time 1437,-0.67,-0.2,0.61,-0.9,-0.66,1.0
time 1438,0.22,-0.24,0.14,0.99,-0.91,1.0
time 1439,0.16,-0.16,0.0,0.68,0.4,0.33
time 1440,0.63,-0.79,0.11,-0.41,0.29,0.67
time 1441,0.65,0.23,0.52,-0.36,-0.24,1.0
time 1442,0.1,0.61,0.76,-0.4,-0.51,0.33
time 1443,0.53,0.34,0.28,-0.95,-0.65,0.33
time 1444,-0.25,-0.97,0.65,0.14,0.19,0.67
time 1445,-0.91,-0.92,0.43,0.17,0.89,1.0
time 1446,-0.25,0.37,-0.67,-0.32,-0.95,1.0
time 1447,-0.32,-0.54,-0.17,0.99,-0.13,0.33
time 1448,-0.34,-0.55,-0.99,-0.79,-0.0,0.67
time 1449,0.41,-0.04,0.64,0.94,0.94,0.67
time 1450,-0.94,-0.22,0.92,0.06,0.28,1.0
time 1451,-0.52,0.06,0.12,-0.92,0.58,0.33
time 1452,0.11,-0.14,-0.62,-0.85,-0.92,1.0
time 1453,0.79,0.27,0.28,-0.5,0.09,0.33
time 1454,0.64,-0.22,0.56,-0.7,0.76,0.33
time 1455,0.59,0.24,-0.01,0.32,0.83,1.0
time 1456,0.07,0.15,-0.96,0.31,0.63,0.67
time 1457,0.75,0.25,-0.02,0.74,0.09,1.0
time 1458,-0.27,0.25,0.6,0.17,0.1,0.33
time 1459,0.31,-0.2,0.25,0.7,-0.08,1.0
time 1460,-0.01,0.25,-0.38,-0.08,-0.31,0.67
time 1461,0.53,-0.07,0.41,0.04,0.5,1.0
time 1462,-0.57,0.66,0.72,-0.2,0.02,0.67
time 1463,-0.46,0.16,-0.34,0.85,-0.37,0.33
time 1464,-0.69,-0.66,0.51,-0.76,0.83,1.0
time 1465,-0.98,-0.32,-0.95,-0.14,0.59,1.0
time 1466,-0.52,-0.78,-0.85,0.09,0.5,1.0
time 1467,-0.9,0.36,-0.59,0.95,0.23,0.33
time 1468,0.87,0.67,0.52,-0.5,0.65,1.0
time 1469,0.04,-0.92,-0.82,0.91,0.81,0.67
time 1470,0.11,0.07,-0.36,-0.78,-0.76,0.67
time 1471,-0.27,0.93,-0.61,-0.6,0.65,1.0
time 1472,-0.22,0.4,0.25,-0.55,-0.97,1.0
time 1473,0.58,-0.8,0.5,0.38,0.81,0.67
time 1474,0.94,-0.76,0.92,0.37,0.33,0.33
time 1475,0.79,-0.45,0.46,-0.67,0.96,0.33
time 1476,-0.99,-0.97,-0.53,-0.49,-0.85,0.67
time 1477,-0.48,0.77,0.06,0.7,-0.87,1.0
time 1478,-0.5,0.23,-0.65,-0.47,-0.85,0.33
time 1479,0.48,0.64,-0.05,0.19,-0.82,1.0
time 1480,0.66,-0.75,-0.9,0.59,0.08,1.0
time 1481,-0.32,-0.53,0.01,0.26,-0.67,1.0
time 1482,-0.12,0.25,-0.51,-0.99,-0.47,0.67
time 1483,-0.94,0.53,0.08,-0.39,0.15,1.0
time 1484,0.71,0.65,0.92,0.23,0.21,0.67
time 1485,-0.43,0.79,0.09,0.44,0.56,1.0
time 1486,-0.21,0.32,0.36,0.36,0.99,1.0
time 1487,-0.43,0.74,0.89,-0.08,-0.96,0.33
time 1488,0.42,-0.64,-0.51,0.48,-0.12,1.0
time 1489,0.52,-0.02,0.25,0.25,-0.12,0.67
time 1490,-0.5,-0.58,-0.7,-0.83,-0.1,1.0
time 1491,-0.35,0.07,-0.61,-0.86,0.04,1.0
time 1492,0.74,-0.17,-0.93,-0.05,-0.8,0.67
time 1493,0.75,-0.82,-0.91,-0.46,-0.09,0.33
time 1494,-0.51,0.03,-0.85,0.08,-0.04,0.33
time 1495,0.04,-0.44,0.41,0.17,0.66,0.33
time 1496,-0.61,0.35,0.65,-0.22,-0.31,1.0
time 1497,-0.55,0.93,0.36,0.52,-0.91,1.0
time 1498,0.81,-0.21,0.17,0.93,-0.2,0.33
time 1499,-0.23,-0.75,0.39,0.23,-0.16,0.67
time 1500,0.25,0.16,0.39,0.47,0.06,1.0
time 1501,-0.76,0.29,0.19,0.25,-0.65,0.67
time 1502,0.9,0.5,0.76,0.61,-0.48,0.33
time 1503,-0.31,0.86,-0.36,-0.24,-0.1,0.33
time 1504,0.62,-0.06,0.85,-0.56,-0.47,0.67
time 1505,-0.54,-0.91,-0.81,-0.85,0.42,0.33
time 1506,-0.34,0.33,-0.16,0.14,-0.32,0.67
time 1507,0.13,-0.88,-0.03,-0.41,0.34,0.33
time 1508,0.55,0.99,-0.21,0.86,0.11,0.33
time 1509,-0.14,-0.51,-0.77,-0.35,0.34,1.0
time 1510,0.69,0.88,-0.84,-0.05,-0.44,0.33
time 1511,-0.01,-0.33,0.48,0.08,0.58,0.67
time 1512,0.6,-0.44,0.17,-0.5,-0.63,0.33
time 1513,-0.79,-0.8,0.76,-0.47,-0.67,0.67
time 1514,0.1,0.06,-0.11,-0.45,-0.33,1.0
time 1515,-0.9,-0.24,-0.79,-0.64,-0.48,0.33
time 1516,-0.97,-0.29,0.38,0.72,-0.64,0.67
time 1517,-0.27,-0.3,-0.75,-0.13,0.54,0.67
time 1518,0.13,-0.64,0.66,-0.78,-0.41,0.67
time 1519,0.92,0.49,-0.89,-0.78,-0.66,0.33
time 1520,-0.74,0.86,0.04,-0.5,-0.84,1.0
time 1521,-0.23,-0.24,-0.99,-0.93,-0.59,0.67
time 1522,-0.85,0.24,0.81,-0.91,0.01,1.0
time 1523,0.49,-0.54,0.64,-0.11,0.51,0.67
time 1524,0.31,0.53,0.75,0.09,0.37,0.67
time 1525,-0.41,-0.25,0.66,0.72,0.37,0.67
time 1526,0.52,0.4,-0.14,0.27,-0.64,1.0
time 1527,0.37,-0.36,-0.44,0.56,0.55,0.33
time 1528,-0.74,-0.58,0.92,1.0,0.82,0.33
time 1529,-0.7,-0.31,0.13,0.02,-0.77,0.67
time 1530,0.47,-0.5,-0.22,0.82,-0.36,0.67
time 1531,0.06,0.41,0.65,-0.2,-0.96,0.33
time 1532,0.25,-0.95,0.47,0.98,0.86,0.67
time 1533,-0.95,-0.52,0.11,0.21,-0.77,0.67
time 1534,-0.95,0.56,0.19,-0.38,0.77,0.33
time 1535,0.05,-0.2,-1.0,-0.67,0.02,0.67
time 1536,0.05,0.05,-0.4,-0.98,0.84,1.0
time 1537,-0.27,0.19,0.26,-0.42,0.92,0.33
time 1538,-0.37,0.84,0.56,-0.57,0.93,0.33
time 1539,0.78,-0.76,-0.95,-0.64,-0.6,1.0
time 1540,-0.17,-0.81,-0.47,-0.9,-0.67,0.33
time 1541,-0.38,0.88,0.69,-0.73,-0.66,1.0
time 1542,0.07,-0.78,0.31,0.23,-0.18,0.67
time 1543,0.57,0.79,-0.05,0.84,-0.51,0.67
time 1544,0.26,-0.19,-0.35,0.6,-0.77,1.0
time 1545,-0.69,-0.88,0.83,-0.08,-0.89,0.33
time 1546,0.23,-0.62,0.33,0.32,-0.96,1.0
time 1547,0.3,0.69,0.16,0.37,-0.71,0.67
time 1548,-0.13,0.58,0.7,0.19,-0.8,1.0
time 1549,-0.41,0.72,0.36,0.13,-0.59,1.0
time 1550,0.11,0.83,-0.54,-0.69,-0.02,0.67
time 1551,-0.75,0.6,0.02,-0.57,-0.72,1.0
time 1552,-0.34,0.88,-0.49,-0.6,0.54,0.67
time 1553,0.46,0.68,-0.79,-0.49,0.51,0.33
time 1554,0.84,-0.96,0.91,0.03,0.91,0.67
time 1555,0.21,-0.34,-0.49,-0.94,0.99,1.0
time 1556,0.64,-0.71,0.96,0.86,0.53,0.33
time 1557,-0.94,-0.83,0.54,-0.57,-0.61,0.33
time 1558,0.03,0.34,0.43,0.32,-0.31,0.67
time 1559,0.2,-0.87,0.69,-0.0,0.43,0.33
time 1560,0.42,-0.72,0.09,-0.47,0.24,0.67
time 1561,0.59,0.44,-0.12,0.61,0.74,0.33
time 1562,-0.94,0.94,0.84,-0.45,0.73,1.0
time 1563,-0.91,1.0,-0.85,-0.3,-0.4,0.33
time 1564,-0.27,-0.82,0.58,0.98,-0.44,0.33
time 1565,0.48,-0.13,-0.92,-0.45,-0.46,1.0
time 1566,0.51,0.48,0.21,0.46,0.61,0.33
time 1567,-0.52,0.07,0.82,0.13,-0.72,0.33
time 1568,0.93,0.16,0.25,0.08,0.12,1.0
time 1569,0.28,0.47,0.03,0.38,0.83,0.33
time 1570,0.55,-0.28,-0.28,-0.83,-0.39,1.0
time 1571,0.17,0.17,-0.6,-0.35,0.19,1.0
time 1572,-0.22,-0.02,-0.69,0.59,-0.54,1.0
time 1573,-0.41,0.99,-0.57,-0.42,0.44,0.33
time 1574,0.38,0.03,0.25,-0.15,-0.55,0.67
time 1575,0.97,-0.87,0.77,0.47,-0.48,1.0
time 1576,-0.78,0.91,-0.35,-0.39,-0.31,1.0
time 1577,0.46,0.36,-0.08,0.5,-0.25,0.33
time 1578,-0.45,0.5,-0.73,0.3,-0.16,0.33
time 1579,0.43,0.8,-0.66,-0.46,-0.7,0.33
time 1580,-0.63,-0.9,-0.27,0.01,-0.31,1.0
time 1581,-0.32,0.79,-0.43,0.28,0.32,0.67
time 1582,-0.05,0.45,-0.82,0.49,-0.56,0.33
time 1583,-0.18,-0.1,0.3,1.0,0.1,0.67
time 1584,0.18,0.19,0.49,0.56,-0.48,0.33
time 1585,-0.86,-0.01,-0.48,0.94,-0.95,0.33
time 1586,-0.79,-0.79,0.86,0.61,0.17,1.0
time 1587,-0.55,0.47,-0.45,0.79,-0.06,0.67
time 1588,-0.7,0.42,-0.92,0.85,0.35,0.67
time 1589,1.0,-0.43,-0.88,0.81,0.4,1.0
time 1590,-0.14,-0.87,0.2,-0.75,-0.51,0.33
time 1591,0.92,0.14,-0.11,-0.57,-0.73,0.33
time 1592,0.23,0.01,-0.18,-0.63,-0.34,0.67
time 1593,0.54,-0.08,-0.63,-0.07,0.09,0.33
time 1594,0.19,-0.92,-0.26,-0.51,0.43,1.0
time 1595,-0.6,-0.71,-0.57,0.09,-0.09,1.0
time 1596,-0.3,-0.49,-0.37,0.22,-0.59,0.67
time 1597,-0.77,-0.28,-0.57,0.41,0.7,0.67
time 1598,0.19,0.27,0.47,0.96,0.5,0.33
time 1599,-0.06,-0.73,0.25,0.87,0.43,1.0
time 1600,-0.51,0.88,-0.82,-0.39,-0.23,0.33
time 1601,0.35,0.58,0.84,-0.43,1.0,1.0
time 1602,0.38,-0.97,0.64,0.79,0.61,0.67
time 1603,0.07,-0.66,0.57,0.51,0.81,0.33
time 1604,0.52,0.72,0.46,-0.11,0.23,0.33
time 1605,0.45,-0.59,0.19,-0.25,0.49,1.0
time 1606,-0.37,0.47,0.95,0.95,-0.09,0.67
time 1607,-0.39,0.7,0.22,0.26,-0.67,0.67
time 1608,0.35,0.55,0.41,-0.49,-0.42,0.67
time 1609,-0.53,-0.98,0.33,0.34,0.79,0.67
time 1610,0.62,0.15,-0.32,-0.15,0.8,1.0
time 1611,0.32,0.12,0.91,-0.24,-0.6,0.67
time 1612,-0.11,-0.64,-0.53,0.41,-0.8,1.0
time 1613,0.78,0.33,0.38,-0.22,-0.28,0.67
time 1614,-0.68,-0.8,-0.46,0.87,-0.05,1.0
time 1615,0.76,0.15,-0.43,-0.56,-0.67,0.67
time 1616,-0.18,-0.14,-0.07,0.86,0.6,0.67
time 1617,-0.04,-0.91,-0.95,0.17,-0.93,1.0
time 1618,0.75,-0.83,-0.74,0.69,0.8,0.67
time 1619,-0.59,0.87,-0.81,-0.47,0.42,0.33
time 1620,0.23,0.29,0.97,0.54,-0.93,0.33
time 1621,0.12,0.64,0.95,-0.14,-0.04,0.33
time 1622,-0.07,0.35,0.68,-0.94,-0.94,1.0
time 1623,-0.83,0.14,0.06,-0.67,0.31,0.33
time 1624,-0.87,0.33,-0.83,-0.48,-0.46,0.33
time 1625,0.99,0.43,-0.17,0.54,-0.3,1.0
time 1626,0.5,0.5,-0.88,-0.33,-0.16,0.67
time 1627,0.71,-0.66,-0.72,0.2,-0.83,1.0
time 1628,0.81,0.47,0.56,0.66,0.9,0.33
time 1629,-0.16,0.99,0.74,-0.23,0.5,1.0
time 1630,-0.06,-0.48,-0.67,-0.13,0.19,1.0
time 1631,0.03,0.67,0.58,-0.88,0.45,1.0
time 1632,-0.03,0.8,-0.44,-0.61,-0.39,0.33
time 1633,0.38,-0.92,-0.08,0.65,0.88,0.33
time 1634,-0.34,-0.98,0.59,-0.21,0.82,0.33
time 1635,0.73,0.51,0.83,-0.88,0.23,0.67
time 1636,0.23,-0.69,-0.99,-0.88,-0.41,0.33
time 1637,0.58,0.71,-0.83,0.35,0.01,0.33
time 1638,0.39,-0.87,0.51,-0.89,0.02,0.67
time 1639,-0.64,0.68,0.6,-0.59,0.42,0.33
time 1640,-0.71,-0.81,-0.11,0.07,0.53,0.33
time 1641,0.93,0.13,-0.94,0.53,0.01,0.67
time 1642,0.91,-0.44,0.54,-0.33,-0.59,0.67
time 1643,-0.03,0.89,-0.72,-0.08,0.04,0.67
time 1644,0.73,0.34,-0.39,-0.62,-0.31,1.0
time 1645,-0.52,0.25,-0.46,0.08,0.62,0.33
time 1646,0.48,0.0,-0.09,-0.66,0.58,1.0
time 1647,0.69,0.78,0.6,-0.63,-0.63,1.0
time 1648,0.48,-0.65,0.22,0.42,0.08,0.67
time 1649,-0.77,0.45,-0.92,0.48,-0.96,1.0
time 1650,0.64,-0.18,0.66,0.97,0.54,1.0
time 1651,0.73,-0.53,0.33,0.16,0.79,1.0
time 1652,0.58,0.49,-0.09,-0.8,-0.32,1.0
time 1653,-0.32,-0.96,-0.47,-0.31,0.12,0.33
time 1654,-0.38,-0.14,-0.39,-0.12,0.13,0.33
time 1655,-0.66,-0.12,0.2,-0.2,0.63,0.33
time 1656,-0.83,0.64,0.25,0.57,-0.93,0.67
time 1657,-0.62,0.7,-0.27,-0.35,0.56,1.0
time 1658,0.79,-0.25,-0.96,-0.68,-0.4,1.0
time 1659,0.74,0.33,-0.98,-0.37,-0.48,0.33
time 1660,-0.61,-0.67,0.07,0.59,-0.17,1.0
time 1661,-0.42,0.27,0.24,-0.3,0.18,0.33
time 1662,-0.34,0.73,0.61,-0.35,-0.27,0.67
time 1663,0.21,-0.61,-0.05,0.0,0.48,1.0
time 1664,0.66,0.94,0.83,0.05,0.88,0.33
time 1665,0.49,0.95,-0.45,0.2,-0.87,1.0
time 1666,0.05,-0.55,0.22,0.73,-0.7,1.0
time 1667,0.74,0.27,-0.6,0.12,0.03,0.33
time 1668,0.24,0.9,-0.78,0.99,0.17,1.0
time 1669,-0.96,0.71,-0.38,-0.9,0.68,1.0
time 1670,-0.22,0.4,-0.3,-0.88,-0.01,0.33
time 1671,0.18,-0.79,0.89,0.67,0.13,0.33
time 1672,0.64,0.37,-0.52,0.57,0.75,1.0
time 1673,-0.36,-0.38,-0.6,0.99,0.65,0.33
time 1674,0.8,0.53,0.09,-0.32,0.73,1.0
time 1675,0.83,-0.45,-0.53,0.52,0.87,1.0
time 1676,0.97,-0.9,0.17,-0.4,0.84,0.33
time 1677,0.76,0.14,-0.72,0.25,0.35,0.67
time 1678,-0.48,0.94,-0.95,0.98,-0.97,1.0
time 1679,0.91,0.24,0.86,-0.94,-0.08,1.0
time 1680,-0.65,0.95,0.25,0.8,0.3,0.67
time 1681,-0.89,0.36,0.93,0.89,0.7,1.0
time 1682,-0.6,0.73,0.57,0.4,0.35,0.67
time 1683,-0.41,0.76,0.29,0.48,0.54,0.67
time 1684,0.56,-0.17,0.25,0.32,-0.72,1.0
time 1685,0.91,-0.49,0.55,-0.45,-0.09,1.0
time 1686,0.98,0.56,-0.9,0.74,1.0,1.0
time 1687,-0.06,0.45,-0.64,0.4,-0.35,0.67
time 1688,0.54,0.59,-0.22,-0.18,0.5,1.0
time 1689,0.81,0.09,0.74,-0.62,0.84,0.33
time 1690,0.96,-0.28,0.99,0.8,0.19,0.33
time 1691,-0.94,0.1,0.27,-0.18,-0.9,0.67
time 1692,1.0,-0.74,-0.69,-0.94,-0.78,0.67
time 1693,0.85,0.33,0.58,0.02,0.88,1.0
time 1694,0.87,-0.22,-0.99,-0.59,0.27,0.33
time 1695,0.56,-0.2,0.5,0.24,0.18,0.33
time 1696,-0.5,-0.58,0.18,0.13,-0.75,0.33
time 1697,0.55,0.45,-0.69,-0.92,-0.46,0.33
time 1698,0.37,-0.16,-0.96,-0.92,-0.28,0.33
time 1699,0.48,-0.95,-0.36,0.63,-0.92,0.67
time 1700,0.15,-0.15,-0.94,0.56,0.36,0.33
time 1701,0.94,0.19,0.74,0.28,0.82,0.67
time 1702,0.78,0.44,-0.87,-0.93,-0.58,0.33
time 1703,-0.62,-0.95,0.9,-0.62,0.47,1.0
time 1704,0.61,0.72,0.96,0.85,0.45,0.67
time 1705,0.52,-0.29,0.4,0.23,0.21,0.67
time 1706,0.27,-0.7,-0.31,0.55,-0.84,1.0
time 1707,0.68,0.95,-0.08,0.59,0.47,0.67
time 1708,-0.6,0.43,-0.36,-0.32,-0.41,0.67
time 1709,-0.66,0.44,0.12,0.92,0.0,1.0
time 1710,-0.43,-0.67,0.59,-0.74,0.97,1.0
time 1711,0.01,0.15,0.27,-0.34,-1.0,0.33
time 1712,0.4,0.67,0.31,0.27,0.78,1.0
time 1713,0.25,-0.53,0.15,0.61,0.76,1.0
time 1714,0.54,0.61,-0.24,-0.21,0.21,0.67
time 1715,-0.36,0.12,-0.87,-0.58,-0.53,0.33
time 1716,-0.06,0.97,-0.87,-0.49,-0.84,0.33
time 1717,0.51,-0.45,-0.07,0.14,0.24,1.0
time 1718,-0.09,-0.14,0.33,-0.03,0.26,0.67
time 1719,-0.57,-0.02,-0.67,-0.58,-0.46,0.33
time 1720,0.65,-0.67,-0.33,-0.03,0.8,0.33
time 1721,-0.07,-0.27,-0.03,0.53,0.65,0.33
time 1722,0.21,-0.63,0.91,0.38,-0.07,1.0
time 1723,-0.53,0.12,0.38,-0.15,0.87,0.67
time 1724,0.11,-0.85,0.96,-0.94,0.75,0.67
time 1725,-0.8,-0.06,0.81,0.5,0.31,1.0
time 1726,-0.04,-0.49,0.7,0.13,0.17,1.0
time 1727,-0.25,-0.26,0.44,-0.49,-0.9,0.67
time 1728,-0.11,-0.94,-0.41,-0.83,0.36,1.0
time 1729,0.01,0.06,0.27,-0.66,0.95,0.67
time 1730,-0.87,-0.75,0.75,0.75,-0.85,0.33
time 1731,0.41,-0.31,-0.28,-0.78,0.44,1.0
time 1732,-0.51,0.31,-0.47,-0.32,-0.8,0.33
time 1733,0.29,-0.96,-0.17,-0.85,-0.38,0.67
time 1734,0.85,-0.87,0.46,-0.52,-0.81,1.0
time 1735,0.89,-0.11,-0.27,0.78,0.42,0.67
time 1736,-0.25,-0.04,0.65,-0.68,-0.98,0.33
time 1737,0.09,-0.68,-0.83,-0.31,0.13,0.33
time 1738,-0.99,-0.14,0.77,-0.01,0.0,0.33
time 1739,0.18,-0.66,-0.47,-0.39,-0.21,0.67
time 1740,-0.51,0.4,0.42,0.09,-0.6,1.0
time 1741,-0.84,0.83,-0.02,0.97,0.5,1.0
time 1742,-0.62,-0.18,0.33,-0.23,-0.07,1.0
time 1743,-0.3,0.75,-0.49,0.05,0.92,0.67
time 1744,-0.04,0.6,-0.93,-0.64,0.19,0.67
time 1745,-0.49,-0.27,0.64,0.53,-0.13,0.67
time 1746,0.18,-0.83,0.2,0.8,0.15,0.33
time 1747,-0.67,0.75,0.02,-0.27,0.67,0.33
time 1748,0.14,0.14,0.74,-0.75,0.57,1.0
time 1749,0.85,-0.91,-0.61,0.59,-0.05,0.67
time 1750,0.24,-0.91,0.65,0.29,-0.6,0.33
time 1751,-0.43,-0.65,0.57,-0.59,-0.99,0.33
time 1752,-0.59,-0.7,0.01,0.26,-0.52,0.33
time 1753,-0.66,-0.49,-0.15,0.76,-0.02,1.0
time 1754,0.84,0.82,0.1,0.22,-0.23,0.67
time 1755,0.47,0.49,0.03,0.01,-0.55,0.33
time 1756,0.89,0.7,-0.76,-0.53,0.02,0.33
time 1757,0.95,-0.21,0.07,-0.35,-0.9,0.67
time 1758,0.46,0.43,-0.91,0.79,-0.63,0.67
time 1759,0.8,-0.76,1.0,0.34,0.94,0.33
time 1760,-0.54,-0.65,-0.61,0.71,0.82,1.0
time 1761,0.17,0.46,0.01,-0.59,0.76,1.0
time 1762,-0.46,-0.04,-0.43,0.28,-0.13,1.0
time 1763,0.55,0.39,-0.38,-0.54,0.27,0.33
time 1764,-0.94,-0.04,0.69,0.05,-0.42,0.67
time 1765,-0.78,-0.95,-0.52,-0.8,-0.45,1.0
time 1766,0.22,-0.23,0.55,0.57,0.96,0.33
time 1767,-0.09,-0.52,0.89,-0.5,0.55,0.67
time 1768,-0.83,-0.94,-0.31,0.88,0.35,0.33
time 1769,-0.03,-0.26,-0.76,-0.84,-0.63,0.33
time 1770,0.02,0.32,0.03,-0.76,0.51,0.67
time 1771,0.63,0.54,0.46,-0.44,0.33,1.0
time 1772,0.13,-0.24,-0.57,0.26,0.3,1.0
time 1773,-0.91,0.38,0.53,0.42,0.28,0.67
time 1774,-0.17,0.93,-0.51,0.58,0.99,1.0
time 1775,0.79,1.0,0.26,0.3,0.44,0.67
time 1776,-0.28,0.04,0.92,0.7,-0.82,0.67
time 1777,-0.62,-0.54,0.06,-0.68,0.29,0.33
time 1778,-0.26,0.99,-0.21,-0.96,0.58,0.33
time 1779,-0.57,0.99,0.73,-0.11,0.72,1.0
time 1780,0.89,-0.09,-0.26,0.85,0.08,1.0
time 1781,-0.02,-0.5,0.87,-0.29,0.28,1.0
time 1782,-0.95,-0.82,-0.82,-0.47,-0.12,1.0
time 1783,-0.99,-0.35,-0.8,-0.27,0.52,1.0
time 1784,-0.71,0.81,0.03,-0.2,-0.46,1.0
time 1785,-0.93,-0.26,-0.62,0.53,0.49,0.67
time 1786,-0.23,0.03,0.26,0.91,-0.73,0.33
time 1787,0.05,0.5,0.28,-0.64,0.06,0.67
time 1788,-0.83,-0.94,-0.38,-0.36,0.91,0.33
time 1789,-0.32,0.71,0.02,0.96,0.22,1.0
time 1790,-0.28,0.72,0.78,0.09,0.97,0.67
time 1791,0.67,-0.04,-0.73,0.93,-0.06,0.33
time 1792,0.5,0.08,0.47,0.05,-0.71,0.67
time 1793,0.49,0.77,-0.36,0.39,-0.75,0.67
time 1794,-0.65,-0.66,0.78,-0.67,0.47,0.33
time 1795,-0.59,0.93,-0.8,-0.38,-0.58,1.0
time 1796,0.88,-0.73,-0.07,-0.35,-0.24,0.33
time 1797,0.76,0.5,-0.15,0.43,0.38,0.33
time 1798,-0.08,-0.46,-0.21,-0.49,0.55,1.0
time 1799,0.56,0.98,0.62,-0.15,0.06,0.33
time 1800,-0.79,-0.19,0.36,-0.57,-0.55,0.67
time 1801,0.54,-0.38,0.93,-1.0,-0.93,1.0
time 1802,0.39,-0.98,-0.8,0.57,0.2,0.67
time 1803,0.92,0.0,0.0,-0.03,0.32,1.0
time 1804,-0.36,-0.66,-0.65,-0.36,-0.39,1.0
time 1805,-0.74,-0.75,0.14,0.25,0.81,1.0
time 1806,-0.65,-0.73,0.87,-0.85,0.64,1.0
